,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
90,3370333248,4km 🥶☔,2020-04-29T13:20:37Z,Run,4011.7,1042,1060,12.6,"[53.524448, -6.685186]",ef1e648c-54b2-4502-99cd-9050d15f6e5f-activity.fit
91,3366942523,2km time trial,2020-04-28T18:21:06Z,Run,2010.4,481,481,6.9,"[53.53549, -6.710976]",057f0801-343e-4552-9090-23ebae008265-activity.fit
92,3365641963,Afternoon Walk,2020-04-28T13:06:26Z,Walk,4224.8,3134,3273,17.6,"[53.524057, -6.679702]",2943c9c0-7e9e-43a4-87a8-e8c529a1d835-activity.fit
93,3362298433,Stroll,2020-04-27T17:36:13Z,Walk,3697.3,2782,2831,12.2,"[53.523894, -6.679636]",c8c4124f-b6ce-4c5f-bdc6-0c221a5c45df-activity.fit
94,3356190785,Walk,2020-04-26T13:18:49Z,Walk,4569.9,3398,3691,19.8,"[53.535937, -6.710525]",1ebc8a7d-d694-440f-9a69-f39d4b6973f3-activity.fit
95,3346517772,2Km max effort,2020-04-24T17:21:39Z,Run,2000.9,453,475,4.5,"[53.536439, -6.710043]",
96,3345579403,Afternoon Walk,2020-04-24T13:19:12Z,Walk,3756.4,2870,3091,12.7,"[53.523927, -6.679504]",dd23fb12-9d63-42fd-b847-2c9768221d17-activity.fit
97,3342442134,Sprints Session & 100m x 10 x 3 with Caragh,2020-04-23T18:18:19Z,Run,3793.9,2130,3176,0.0,"[53.5358, -6.710136]",198783f4-3c56-4a18-96ba-ff575d43c0e8-activity.fit
98,3340586849,Afternoon Walk,2020-04-23T13:13:36Z,Walk,3686.3,2853,2853,12.9,"[53.523938, -6.679607]",4da70151-8e63-4aa1-b146-cc147341f9db-activity.fit
99,3340090157,Afternoon Stroll,2020-04-22T13:34:05Z,Walk,2297.0,1699,1699,14.1,"[53.523948, -6.679722]",
100,3330562288,Lunchtime Run,2020-04-21T13:06:52Z,Run,4004.5,1148,1423,13.1,"[53.524317, -6.679234]",
101,3322146380,300s x 10 + Sprint Session with Caragh,2020-04-19T15:18:49Z,Run,4556.0,2303,4087,16.6,"[53.535966, -6.710516]",04ff2eac-64b5-42bc-9fb2-0923b0c1f0f5-activity.fit
102,3321663245,Afternoon Walk,2020-04-19T13:14:08Z,Walk,4721.1,3310,3583,19.9,"[53.535889, -6.710314]",
103,3320909174,Afternoon Walk,2020-04-18T13:05:35Z,Walk,5665.9,3632,4244,21.6,"[53.535777, -6.709929]",
104,3311442544,Lunchtime Walk,2020-04-17T13:15:56Z,Walk,3641.5,2811,2874,14.1,"[53.523912, -6.67971]",
105,3310380599,Slow and Steady one for the Lungs 🥶,2020-04-17T07:15:36Z,Run,10006.9,3314,3366,46.7,"[53.524224, -6.67965]",
106,3310380436,Evening Walk,2020-04-16T18:18:38Z,Walk,3533.3,2774,2881,12.2,"[53.535912, -6.710576]",
107,3310380372,Evening Walk,2020-04-14T18:25:10Z,Walk,4599.1,3246,3454,20.1,"[53.535857, -6.710103]",
108,3297309143,Afternoon Run,2020-04-14T13:05:34Z,Run,4005.9,1022,1190,16.3,"[53.524175, -6.680609]",
